Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
1,127 Hours,0.93,0.84,7.9,98800,174900,204400,338700,4.285714286,375802,1137000,560000,21.85714286,568334,814500,898500,149.5714286,1611343,644000,569800,263.5714286,2001216,113900,535000,391.7142857,1961284,300,267700,375.14285710000007,1329626,36200,180000,229.28571430000002,735996,0,84300,90.0,333941,26600,46800,83.57142857,322655,23800,47900,70.14285714,212401,Fox Searchlight,Drama,1 hrs. 33 min.,R,18000000.0
2,2 Days In Paris,0.85,0.71,6.9,0,40600,0,41800,8.0,226825,0,83500,8.0,169971,0,287400,54.0,480776,0,294100,79.57142857,699404,0,232000,92.0,479395,0,154500,100.57142859999999,400919,0,69800,102.2857143,282365,0,37000,100.2857143,224410,0,7700,82.42857143,154325,0,3000,50.85714286,71725,Samuel Goldwyn,Comedy / Drama,1 hrs. 34 min.,R,
3,500 Days Of Summer,0.87,0.81,7.9,198200,211400,556700,486600,26.28571429,1332128,1400100,665200,78.57142857,2514909,1285300,510900,247.0,4106775,615000,599000,754.1428571,5729845,271000,471800,967.0,4434446,10700,220000,904.7142857000001,3053734,595000,223800,810.0,2524749,104900,222700,779.7142857000001,2432649,0,165000,652.8571429,1357227,0,100000,492.7142857,740878,Fox Searchlight,Romance,1 hrs. 35 min.,PG-13,7500000.0
4,A Better Life,0.85,0.79,6.4,161600,67900,199800,300300,4.0,83668,151400,218100,11.85714286,146743,46600,459600,150.1428571,464302,0,503100,205.0,479417,0,113900,174.5714286,296264,0,19700,88.57142857,99889,0,1900,52.71428571,41758,0,1200,37.0,21562,0,0,57.0,32189,0,0,25.0,14849,Summit Entertainment,Drama,1 hrs. 37 min.,PG-13,10000000.0
5,A Dirty Shame,0.53,0.49,5.0,345300,495400,0,3800,2.0,182,0,197600,101.1428571,506832,0,82600,97.57142857,307155,0,24000,59.71428571,143180,0,15500,31.14285714,62835,0,2600,19.28571429,25747,0,0,5.1428571430000005,4415,0,0,3.0,2161,0,0,2.714285714,1478,0,0,1.0,570,Fine Line,Comedy,1 hrs. 28 min.,NC-17,15000000.0
6,A Guide To Recognizing Your Saints,0.75,0.67,7.0,43500,143400,98700,276400,8.0,129648,110700,206000,9.0,78428,30700,523400,57.0,151126,5600,39500,50.42857143,68256,700,12000,24.85714286,36141,0,0,5.857142857,14164,0,0,6.714285714,15287,0,0,1.714285714,5486,0,0,1.714285714,1328,0,0,2.333333333,1961,First Look,Drama,1 hrs. 38 min.,R,
7,A Home At The End Of The World,0.48,0.66,6.6,0,0,0,0,5.0,97017,0,0,23.42857143,170443,0,0,44.85714286,164838,0,0,41.71428571,137708,0,0,29.71428571,83121,0,0,35.0,66048,0,0,20.14285714,32154,0,0,16.0,12463,0,0,6.0,4991,0,0,5.1428571430000005,4742,Warner Independent,Drama,2 hrs. 0 min.,R,6500000.0
8,A Scanner Darkly,0.69,0.7,7.1,298900,189700,308500,343300,16.0,563539,171500,440600,186.8571429,1724260,0,160100,189.0,920336,0,114000,232.4285714,698535,0,55500,168.0,340565,0,26300,101.0,175266,0,17400,90.28571429,123292,0,3000,48.57142857,66271,0,0,28.57142857,40213,0,0,34.85714286,34070,Warner Independent,Animation,1 hrs. 40 min.,R,8500000.0
9,A Serious Man,0.89,0.64,7.1,0,165800,0,302100,6.0,352012,58000,754900,21.0,648813,95400,619400,71.14285714,937651,19600,559300,149.71428569999998,1246396,0,367400,194.71428569999998,1175332,0,469900,210.4285714,1005670,0,313400,190.8571429,708630,0,248600,148.1428571,530513,0,109000,124.1428571,451662,0,101600,113.42857140000001,236079,Focus Features,Comedy,1 hrs. 45 min.,R,7000000.0
10,A Single Man,0.85,0.78,7.6,0,226200,0,305300,7.0,280713,0,93900,7.0,196093,0,289100,37.0,546971,0,199600,37.0,569572,0,104100,37.28571429,412086,0,316600,178.8571429,1070428,0,110900,173.0,795746,0,52300,176.4285714,679587,0,289200,304.0,747366,0,245700,257.4285714,604794,Weinstein Company,Drama,1 hrs. 39 min.,R,7000000.0
11,Across The Universe,0.53,0.84,7.4,475300,178500,1026600,779100,19.28571429,773985,469400,883400,241.4285714,2125648,579000,637100,297.42857139999995,2249940,2103700,556500,322.0,2305995,283200,672100,852.8571429,4368858,100,360500,852.7142857000001,2964158,0,191800,825.5714286,1818530,0,42300,663.4285714,1286953,0,23200,436.42857139999995,914840,0,0,275.7142857,614621,Sony (Revolution),Musical,2 hrs. 11 min.,PG-13,73105000.0
12,Adam,0.64,0.71,7.2,43700,378500,40000,29100,4.0,28510,84500,331600,4.1428571430000005,109596,800,418900,19.0,163181,0,178300,55.0,287066,0,121600,82.0,327230,0,77400,140.71428569999998,388077,0,5900,125.7142857,293520,0,1200,97.14285714,154561,0,0,59.28571429,64665,0,0,32.14285714,31066,Fox Searchlight,Comedy / Drama,1 hrs. 35 min.,PG-13,3200000.0
